Tesla K20c
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

0	51	1	1	1	1	0.025568	1.475008	0.031040	1.329792	0.064288	0.838976	8.059328
0	51	1	1	1	6	0.024224	1.613440	0.025440	1.318720	0.054080	0.820192	8.976640
0	51	1	1	1	11	0.024192	1.893280	0.026144	1.286560	0.054176	0.820128	8.288416
0	51	1	1	1	16	0.023840	2.212512	0.026400	1.316448	0.060352	0.837120	9.589568
0	51	1	1	1	21	0.023264	2.512064	0.070912	1.516992	0.058208	0.821696	10.132832
0	51	1	1	1	26	0.023968	2.826400	0.026176	1.311904	0.058880	0.844672	8.983296
0	51	1	1	1	31	0.024096	3.128000	0.025344	1.285824	0.057952	1.235136	10.704640
0	51	1	1	1	36	0.023776	3.190560	0.026976	1.438848	0.058560	0.820736	10.637792
0	51	1	1	6	1	0.024224	1.918720	0.024096	1.372800	0.055712	0.835456	8.301472
0	51	1	1	6	6	0.024288	2.061056	0.026400	1.324096	0.060416	0.820928	9.432192
0	51	1	1	6	11	0.022848	2.343552	0.027328	1.391488	0.058688	0.818080	9.438144
0	51	1	1	6	16	0.024192	2.655616	0.024256	1.301088	0.056608	1.230816	9.449376
0	51	1	1	6	21	0.024128	2.983104	0.026656	1.392512	0.059040	0.820512	10.391360
0	51	1	1	6	26	0.024032	3.313920	0.026688	1.350976	0.057312	0.819744	10.564960
0	51	1	1	6	31	0.024128	3.615872	0.025120	1.288064	0.055744	0.836928	9.902144
0	51	1	1	6	36	0.024160	3.650944	0.026272	1.631904	0.058656	0.820992	11.301120
0	51	1	1	11	1	0.023264	2.599456	0.025536	1.415104	0.060768	1.188544	10.162336
0	51	1	1	11	6	0.024448	2.742080	0.026400	1.286656	0.055360	0.837856	8.960032
0	51	1	1	11	11	0.024064	3.022528	0.026336	1.307008	0.057440	0.821504	10.312096
0	51	1	1	11	16	0.023104	3.340448	0.026400	1.371680	0.059680	0.821408	10.756384
0	51	1	1	11	21	0.023904	3.648992	0.024416	1.358112	0.055808	1.188704	10.127936
